State or territory,Year,Births,Number of deaths
New South Wales,2021,99300.0,56525
Victoria,2021,76414.0,42486
Queensland,2021,64261.0,33858
South Australia,2021,19783.0,14494
Western Australia,2021,34065.0,15891
Tasmania,2021,6027.0,4769
Northern Territory,2021,3736.0,1211
Australian Capital Territory,2021,6410.0,2207
Australia,2021,309996.0,171469
New South Wales,2022,95758.0,62980
Victoria,2022,76187.0,47978
Queensland,2022,62313.0,38160
South Australia,2022,19502.0,15455
Western Australia,2022,31474.0,17299
Tasmania,2022,5498.0,5142
Northern Territory,2022,3577.0,1338
Australian Capital Territory,2022,6375.0,2563
Australia,2022,300684.0,190939
New South Wales,2012,,49314
Victoria,2012,,35760
Queensland,2012,,28300
South Australia,2012,,13178
Western Australia,2012,,13339
Tasmania,2012,,4459
Northern Territory,2012,,1038
Australian Capital Territory,2012,,1706
Australia,2012,,147098
